MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:3037818,Cxcl3,chemokine (C-X-C motif) ligand 3,5,,neutrophil chemotaxis,,,IDA,,J:88000 
MGI:3037818,Cxcl3,chemokine (C-X-C motif) ligand 3,5,,neutrophil chemotaxis,,,ISO,RGD:621812 ,J:155856 
MGI:1096868,Cxcl5,chemokine (C-X-C motif) ligand 5,5,,neutrophil chemotaxis,,,IBA,PTN000021269 ,J:265628 
MGI:1352449,Cxcl9,chemokine (C-X-C motif) ligand 9,5,,neutrophil chemotaxis,,,IBA,PTN000021269 ,J:265628 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,neutrophil chemotaxis,,,IBA,PTN000021269 ,J:265628 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,positive regulation of cell migration,,,ISO,RGD:620209 ,J:155856 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,positive regulation of leukocyte chemotaxis,,,ISO,RGD:620209 ,J:155856 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,positive regulation of monocyte chemotaxis,,,ISO,P02778 ,J:164563 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,positive regulation of T cell migration,,,ISO,P02778 ,J:200103 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,regulation of T cell chemotaxis,,,ISO,P02778 ,J:164563 
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,T cell chemotaxis,,,ISO,P02778 ,J:164563 
MGI:1860203,Cxcl11,chemokine (C-X-C motif) ligand 11,5,,cell chemotaxis,,,TAS,,J:62788 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,blood vessel endothelial cell migration,"happens in arterial system,results in the movement of blood vessel endothelial cell",,IMP,MGI:1934384 ,J:98453 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,blood vessel endothelial cell migration,"happens in midgut,results in the movement of blood vessel endothelial cell",,IMP,MGI:1934384 ,J:98453 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,cell chemotaxis,,,IBA,PTN000428507 ,J:265628 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,cell chemotaxis,,,ISO,P48061 ,J:164563 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,germ cell migration,,,IDA,,J:84597 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,negative regulation of leukocyte tethering or rolling,,,ISO,P48061 ,J:164563 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,neuron migration,,,ISO,RGD:3651 ,J:155856 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,positive regulation of cell migration,,,IBA,PTN000428507 ,J:265628 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,positive regulation of cell migration,,,IDA,,J:84597 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,positive regulation of cell migration,,,ISO,RGD:3651 ,J:155856 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,positive regulation of monocyte chemotaxis,,,ISO,P48061 ,J:164563 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,positive regulation of T cell migration,,,ISO,P48061 ,J:200103 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,regulation of cell migration,,,IDA,,J:79852 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,regulation of cell migration,,,IGI,MGI:1306805 ,J:147597 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,T cell chemotaxis,,,ISO,P48061 ,J:164563 
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,telencephalon cell migration,,,ISO,RGD:3651 ,J:155856 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,B cell chemotaxis,,,IMP,,J:119527 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,B cell chemotaxis,,,ISO,O43927 ,J:164563 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,B cell chemotaxis across high endothelial venule,,,IDA,,J:119527 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,endothelial cell chemotaxis to fibroblast growth factor,,,ISO,O43927 ,J:164563 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,lymphocyte chemotaxis across high endothelial venule,,,IMP,,J:119527 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,negative regulation of endothelial cell chemotaxis to fibroblast growth factor,,,ISO,O43927 ,J:164563 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,neutrophil chemotaxis,,,IBA,PTN000021269 ,J:265628 
MGI:1888499,Cxcl13,chemokine (C-X-C motif) ligand 13,5,,positive regulation of T cell chemotaxis,,,ISO,O43927 ,J:164563 
MGI:1888514,Cxcl14,chemokine (C-X-C motif) ligand 14,13,,cell chemotaxis,,,IEA,IPR039088 ,J:72247 
MGI:1888514,Cxcl14,chemokine (C-X-C motif) ligand 14,13,,positive regulation of natural killer cell chemotaxis,,,IMP,MGI:5494299 ,J:202633 
MGI:1339941,Cxcl15,chemokine (C-X-C motif) ligand 15,5,,neutrophil chemotaxis,,,IBA,PTN000021269 ,J:265628 
MGI:1339941,Cxcl15,chemokine (C-X-C motif) ligand 15,5,,neutrophil chemotaxis,,,IDA,,J:54701 
MGI:1932682,Cxcl16,chemokine (C-X-C motif) ligand 16,11,,lymphocyte chemotaxis,,,IEA,IPR026296 ,J:72247 
MGI:1932682,Cxcl16,chemokine (C-X-C motif) ligand 16,11,,positive regulation of cell migration,,,IBA,PTN000373033 ,J:265628 
MGI:1932682,Cxcl16,chemokine (C-X-C motif) ligand 16,11,,positive regulation of cell migration,,,ISO,Q9H2A7 ,J:164563 
MGI:1932682,Cxcl16,chemokine (C-X-C motif) ligand 16,11,,T cell chemotaxis,,,IBA,PTN000373033 ,J:265628 
MGI:1932682,Cxcl16,chemokine (C-X-C motif) ligand 16,11,,T cell chemotaxis,,,IDA,,J:65117 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,macrophage chemotaxis,,,IBA,PTN002204389 ,J:265628 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,macrophage chemotaxis,"happens in lung,happens in larynx mucous membrane,results in the movement of macrophage",,IMP,,J:230699 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,positive regulation of macrophage chemotaxis,,,IBA,PTN002204389 ,J:265628 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,positive regulation of macrophage chemotaxis,,,IMP,,J:232054 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,positive regulation of macrophage chemotaxis,,,ISO,Q6UXB2 ,J:164563 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,positive regulation of monocyte chemotaxis,,,IBA,PTN002204389 ,J:265628 
MGI:2387642,Cxcl17,chemokine (C-X-C motif) ligand 17,7,,positive regulation of monocyte chemotaxis,,,ISO,Q6UXB2 ,J:164563 
MGI:2448715,Cxcr1,chemokine (C-X-C motif) receptor 1,1,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:2448715,Cxcr1,chemokine (C-X-C motif) receptor 1,1,,neutrophil chemotaxis,,,IBA,PTN002573743 ,J:265628 
MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,,neutrophil chemotaxis,,,IBA,PTN002573743 ,J:265628 
MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,,neutrophil chemotaxis,,,ISO,RGD:2906 ,J:155856 
MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,,neutrophil chemotaxis,,,ISO,P25025 ,J:164563 
MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,,positive regulation of leukocyte chemotaxis,,,ISO,RGD:2906 ,J:155856 
MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,,positive regulation of neutrophil chemotaxis,,,ISO,RGD:2906 ,J:155856 
MGI:1277207,Cxcr3,chemokine (C-X-C motif) receptor 3,X,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:1277207,Cxcr3,chemokine (C-X-C motif) receptor 3,X,,regulation of leukocyte migration,,,IEA,IPR004070 ,J:72247 
MGI:1277207,Cxcr3,chemokine (C-X-C motif) receptor 3,X,,T cell chemotaxis,,,ISO,RGD:621528 ,J:155856 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,blood vessel endothelial cell migration,"happens in arterial system,results in the movement of blood vessel endothelial cell",,IMP,MGI:1934442 ,J:98453 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,blood vessel endothelial cell migration,"happens in midgut,results in the movement of blood vessel endothelial cell",,IMP,MGI:1934442 ,J:98453 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,cell migration,,,ISO,RGD:620465 ,J:155856 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,germ cell migration,,,IMP,MGI:1934407 ,J:84597 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,hematopoietic stem cell migration,,,IMP,MGI:3525214 ,J:178186 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,neuron migration,results in the movement of granule cell,,IDA,,J:84597 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,neuron migration,,,ISO,RGD:620465 ,J:155856 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,positive regulation of cell migration,,,ISO,RGD:620465 ,J:155856 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,positive regulation of mesenchymal stem cell migration,,,ISO,RGD:620465 ,J:155856 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,regulation of cell migration,"regulates cell migration,regulates myoblast migration",,IGI,MGI:108088 ,J:100909 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,regulation of cell migration,,,IMP,MGI:1934407 ,J:84597 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,regulation of neuron migration,"regulates neuron migration,regulates cell migration",,IMP,MGI:1934407 ,J:79852 
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,telencephalon cell migration,,,ISO,RGD:620465 ,J:155856 
MGI:103567,Cxcr5,chemokine (C-X-C motif) receptor 5,9,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:103567,Cxcr5,chemokine (C-X-C motif) receptor 5,9,,leukocyte chemotaxis,,,IDA,,J:219661 
MGI:1934582,Cxcr6,chemokine (C-X-C motif) receptor 6,9,,cell chemotaxis,,,IBA,PTN001200797 ,J:265628 
MGI:2149481,Cygb,cytoglobin,11,,negative regulation of fibroblast migration,,,ISO,RGD:69415 ,J:155856 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,blood vessel endothelial cell migration,"happens in capillary endothelium,results in the movement of blood vessel endothelial cell",,IMP,MGI:2154690 ,J:144041 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,blood vessel endothelial cell migration,"happens in retina blood vessel,results in the movement of blood vessel endothelial cell",,IMP,MGI:2154690 ,J:144041 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,endothelial cell migration,,,IMP,,J:157662 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,negative regulation of cell migration,,,IMP,,J:197371 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,positive regulation of smooth muscle cell migration,,,ISO,RGD:2460 ,J:155856 
MGI:104978,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",3,,B cell chemotaxis,,,IMP,,J:188276 
MGI:88587,Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1",9,,negative regulation of macrophage chemotaxis,,,IMP,MGI:1857043 ,J:216958 
MGI:1923520,Cyrib,CYFIP related Rac1 interactor B,15,,regulation of cell migration,,,ISO,Q9NUQ9 ,J:164563 
MGI:3036268,D130043K22Rik,RIKEN cDNA D130043K22 gene,13,NOT,neuron migration,,,IGI,MGI:2140475 ,J:249823 
MGI:3036268,D130043K22Rik,RIKEN cDNA D130043K22 gene,13,NOT,neuron migration,,,IMP,MGI:5696928 ,J:241324 
MGI:3036268,D130043K22Rik,RIKEN cDNA D130043K22 gene,13,NOT,neuron migration,,,IMP,MGI:6111777 ,J:249823 
MGI:1923691,Daam2,dishevelled associated activator of morphogenesis 2,17,,podocyte cell migration,,,ISO,Q86T65 ,J:164563 
MGI:108554,Dab1,disabled 1,4,,cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration,,,IMP,MGI:1856801 ,J:90026 
MGI:108554,Dab1,disabled 1,4,,cerebral cortex cell migration,"happens in cerebral cortex,results in the movement of CNS neuron (sensu Vertebrata)",,IMP,MGI:3050637 ,J:91679 
MGI:108554,Dab1,disabled 1,4,,cerebral cortex radially oriented cell migration,,,IGI,MGI:1337096 ,J:205551 
MGI:108554,Dab1,disabled 1,4,,cerebral cortex radially oriented cell migration,"happens in dentate gyrus,results in the movement of pyramidal neuron",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,cerebral cortex radially oriented cell migration,"happens in hippocampus layer,results in the movement of pyramidal neuron",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,cerebral cortex radially oriented cell migration,"happens in neocortex layer,results in the movement of CNS neuron (sensu Vertebrata)",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,cerebral cortex radially oriented cell migration,,,ISO,RGD:628770 ,J:155856 
MGI:108554,Dab1,disabled 1,4,,lateral motor column neuron migration,,,IBA,PTN002599543 ,J:265628 
MGI:108554,Dab1,disabled 1,4,,lateral motor column neuron migration,,,IMP,,J:166792 
MGI:108554,Dab1,disabled 1,4,,motor neuron migration,"happens in hindbrain,results in the movement of motor neuron",,IMP,MGI:1856801 ,J:97218 
MGI:108554,Dab1,disabled 1,4,,neuron migration,,,IGI,MGI:101764 ,J:67864 
MGI:108554,Dab1,disabled 1,4,,neuron migration,"happens in cerebral cortex,results in the movement of CNS neuron (sensu Vertebrata)",,IMP,MGI:1856801 ,J:90026 
MGI:108554,Dab1,disabled 1,4,,neuron migration,"happens in cerebellum,results in the movement of neuron",,IMP,MGI:1856801 ,J:37166 
MGI:108554,Dab1,disabled 1,4,,neuron migration,"happens in hippocampus,results in the movement of neuron",,IMP,MGI:1856801 ,J:37166 
MGI:108554,Dab1,disabled 1,4,,neuron migration,"happens in cerebellum layer,results in the movement of Purkinje cell",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,neuron migration,"happens in neocortex layer,results in the movement of CNS neuron (sensu Vertebrata)",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,neuron migration,"happens in cerebral cortex,results in the movement of CNS neuron (sensu Vertebrata)",,IMP,MGI:3050637 ,J:91679 
MGI:108554,Dab1,disabled 1,4,,neuron migration,,,ISO,RGD:628770 ,J:155856 
MGI:108554,Dab1,disabled 1,4,,radial glia guided migration of Purkinje cell,,,IGI,MGI:1337096 ,J:205551 
MGI:108554,Dab1,disabled 1,4,,radial glia guided migration of Purkinje cell,"happens in cerebellum layer,results in the movement of Purkinje cell",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,radial glia-guided pyramidal neuron migration,"happens in dentate gyrus,results in the movement of pyramidal neuron",,IMP,MGI:1861918 ,J:43647 
MGI:108554,Dab1,disabled 1,4,,radial glia-guided pyramidal neuron migration,"happens in hippocampus layer,results in the movement of pyramidal neuron",,IMP,MGI:1861918 ,J:43647 
MGI:109175,Dab2,"disabled 2, mitogen-responsive phosphoprotein",15,,positive regulation of cell migration,,,IMP,,J:188905 
MGI:109175,Dab2,"disabled 2, mitogen-responsive phosphoprotein",15,,positive regulation of cell migration,,,ISO,P98082 ,J:164563 
MGI:1916851,Dab2ip,disabled 2 interacting protein,2,,cell motility involved in cerebral cortex radial glia guided migration,,,IMP,,J:191935 
MGI:1916851,Dab2ip,disabled 2 interacting protein,2,,layer formation in cerebral cortex,,,IMP,,J:191935 
MGI:1916851,Dab2ip,disabled 2 interacting protein,2,,negative regulation of endothelial cell migration,,,IMP,,J:144734 
MGI:1916851,Dab2ip,disabled 2 interacting protein,2,,negative regulation of endothelial cell migration,,,ISO,Q5VWQ8 ,J:164563 
MGI:1916851,Dab2ip,disabled 2 interacting protein,2,,negative regulation of epithelial cell migration,,,ISO,Q5VWQ8 ,J:164563 
MGI:1916851,Dab2ip,disabled 2 interacting protein,2,,positive regulation of neuron migration,,,IMP,,J:191935 
MGI:1277991,Dach1,dachshund family transcription factor 1,14,,negative regulation of cell migration,,,ISO,Q9UI36 ,J:164563 
MGI:101864,Dag1,dystroglycan 1,9,,negative regulation of cell migration,,,ISO,Q14118 ,J:164563 
MGI:1341297,Dapk2,death-associated protein kinase 2,9,,neutrophil migration,,,IMP,,J:227370 
MGI:1341297,Dapk2,death-associated protein kinase 2,9,,positive regulation of eosinophil chemotaxis,,,ISO,Q9UIK4 ,J:164563 
MGI:1341297,Dapk2,death-associated protein kinase 2,9,,positive regulation of neutrophil chemotaxis,,,ISO,Q9UIK4 ,J:164563 
MGI:1203520,Dapk3,death-associated protein kinase 3,10,,positive regulation of cell migration,,,IMP,,J:212809 
MGI:94864,Dbh,dopamine beta hydroxylase,2,,leukocyte migration,happens in carotid artery,,IMP,MGI:1857556 ,J:100317 
MGI:94869,Dcc,deleted in colorectal carcinoma,18,,neuron migration,,,IBA,PTN008129288 ,J:265628 
MGI:94869,Dcc,deleted in colorectal carcinoma,18,,neuron migration,,,IMP,MGI:1934924 ,J:102358 
MGI:2652818,Dcdc2a,doublecortin domain containing 2a,13,,neuron migration,,,IBA,PTN002744418 ,J:265628 
MGI:2652818,Dcdc2a,doublecortin domain containing 2a,13,,neuron migration,happens in cerebral cortex,,IGI,MGI:1277171 ,J:175635 
MGI:2652818,Dcdc2a,doublecortin domain containing 2a,13,,neuron migration,,,ISO,RGD:1310227 ,J:155856 
MGI:2685011,Dchs1,dachsous cadherin related 1,7,,cell migration,happens in mitral valve leaflet,,IMP,MGI:4867020 ,J:225789 
MGI:2685011,Dchs1,dachsous cadherin related 1,7,,cell migration,"is a part of mitral valve morphogenesis,is a part of pattern specification process,is a part of anatomical structure morphogenesis,happens in mitral valve leaflet",,IMP,MGI:4867020 ,J:225789 
MGI:2685011,Dchs1,dachsous cadherin related 1,7,,cell migration involved in endocardial cushion formation,,,ISO,Q96JQ0 ,J:164563 
MGI:1330861,Dclk1,doublecortin-like kinase 1,3,,neuron migration,happens in cortical layer II,,IGI,MGI:1277171 ,J:105300 
MGI:1330861,Dclk1,doublecortin-like kinase 1,3,,neuron migration,happens in cortical layer III,,IGI,MGI:1277171 ,J:105300 
MGI:1330861,Dclk1,doublecortin-like kinase 1,3,,neuron migration,happens in cortical layer V,,IGI,MGI:1277171 ,J:105300 
MGI:1330861,Dclk1,doublecortin-like kinase 1,3,,neuron migration,happens in cortical layer VI,,IGI,MGI:1277171 ,J:105300 
MGI:1330861,Dclk1,doublecortin-like kinase 1,3,,neuron migration,,,IGI,MGI:1277171 ,J:105301 
MGI:94872,Dcn,decorin,10,,negative regulation of endothelial cell migration,,,ISO,P07585 ,J:73065 
MGI:1277171,Dcx,doublecortin,X,,layer formation in cerebral cortex,happens in hippocampus region,,IMP,MGI:2387757 ,J:148345 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,happens in cortical layer II,,IGI,MGI:1330861 ,J:105300 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,happens in cortical layer III,,IGI,MGI:1330861 ,J:105300 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,happens in cortical layer V,,IGI,MGI:1330861 ,J:105300 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,happens in cortical layer VI,,IGI,MGI:1330861 ,J:105300 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,,,IGI,MGI:1330861 ,J:105301 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,happens in cerebral cortex,,IGI,MGI:2652818 ,J:175635 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,,,ISO,RGD:620670 ,J:155856 
MGI:1277171,Dcx,doublecortin,X,,neuron migration,,,ISO,O43602 ,J:164563 
MGI:109247,Ddit3,DNA-damage inducible transcript 3,10,,vascular associated smooth muscle cell migration,"is a part of response to wounding,is a part of response to platelet-derived growth factor,is a part of artery development",,IMP,MGI:2654034 ,J:267161 
MGI:1921997,Ddit4,DNA-damage-inducible transcript 4,10,,neuron migration,,,ISO,RGD:621731 ,J:155856 
MGI:99216,Ddr1,"discoidin domain receptor family, member 1",17,,smooth muscle cell migration,,,IMP,,J:109760 
MGI:99216,Ddr1,"discoidin domain receptor family, member 1",17,,smooth muscle cell migration,,,ISO,Q08345 ,J:164563 
MGI:99216,Ddr1,"discoidin domain receptor family, member 1",17,,"wound healing, spreading of cells",,,IMP,,J:109760 
MGI:99216,Ddr1,"discoidin domain receptor family, member 1",17,,"wound healing, spreading of cells",,,ISO,Q08345 ,J:164563 
MGI:1345277,Ddr2,"discoidin domain receptor family, member 2",1,,positive regulation of fibroblast migration,,,IMP,,J:74327 
MGI:1345277,Ddr2,"discoidin domain receptor family, member 2",1,,positive regulation of vascular associated smooth muscle cell migration,,,ISO,RGD:619855 ,J:155856 
MGI:1924256,Ddrgk1,DDRGK domain containing 1,2,,positive regulation of cell migration,,,ISO,Q96HY6 ,J:164563 
MGI:2442858,Ddx58,DEAD/H box helicase 58,4,,regulation of cell migration,,,ISO,O95786 ,J:164563 
MGI:1351612,Defb3,defensin beta 3,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:1927667,Defb4,defensin beta 4,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:1933153,Defb5,defensin beta 5,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:2151044,Defb6,defensin beta 6,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:2179200,Defb7,defensin beta 7,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:2654206,Defb8,defensin beta 8,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:2675345,Defb14,defensin beta 14,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:2675345,Defb14,defensin beta 14,8,,cell chemotaxis,,,IDA,,J:132395 
MGI:3651158,Defb25,defensin beta 25,2,,positive regulation of monocyte chemotaxis,,,IBA,PTN001030034 ,J:265628 
MGI:3651158,Defb25,defensin beta 25,2,,positive regulation of monocyte chemotaxis,,,ISO,Q8NES8 ,J:164563 
MGI:3647176,Defb33,defensin beta 33,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:3646525,Defb46,defensin beta 46,8,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:3644478,Defb47,defensin beta 47,14,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:3646223,Defb48,defensin beta 48,14,,cell chemotaxis,,,IBA,PTN000464032 ,J:265628 
MGI:2145425,Depdc1b,DEP domain containing 1B,13,,cell migration,,,ISO,Q8WUY9 ,J:164563 
MGI:1194490,Diaph1,diaphanous related formin 1,18,,positive regulation of cell migration,,,ISO,RGD:1310707 ,J:155856 
MGI:2177178,Dicer1,"dicer 1, ribonuclease type III",12,,positive regulation of endothelial cell migration,,,ISO,RGD:1309381 ,J:155856 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,cerebral cortex radially oriented cell migration,,,IMP,,J:163156 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,neuron migration,,,IBA,PTN002682672 ,J:265628 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,neuron migration,happens in cerebral cortex,,IGI,MGI:2143311 ,J:220804 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,neuron migration,happens in brain,,IMP,,J:171976 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,neuron migration,happens in cerebral cortex,,IMP,,J:220804 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,neuron migration,,,IMP,,J:151421 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,neuron migration,,,ISO,Q9NRI5 ,J:164563 
MGI:2447658,Disc1,disrupted in schizophrenia 1,8,,pyramidal neuron migration to cerebral cortex,,,ISO,RGD:631359 ,J:155856 
MGI:2679721,Dixdc1,DIX domain containing 1,9,,cerebral cortex cell migration,,,IMP,,J:163156 
MGI:2679721,Dixdc1,DIX domain containing 1,9,,cerebral cortex radially oriented cell migration,,,IMP,,J:163156 
MGI:1354949,Dlc1,deleted in liver cancer 1,8,,negative regulation of cell migration,,,ISO,Q96QB1 ,J:164563 
MGI:1918478,Dlg5,discs large MAGUK scaffold protein 5,14,,negative regulation of cell migration,,,ISO,Q8TDM6 ,J:164563 
MGI:1859388,Dll4,delta like canonical Notch ligand 4,2,,negative regulation of blood vessel endothelial cell migration,,,IDA,,J:138721 
MGI:1859388,Dll4,delta like canonical Notch ligand 4,2,,negative regulation of cell migration involved in sprouting angiogenesis,,,ISO,Q9NR61 ,J:164563 
MGI:1859388,Dll4,delta like canonical Notch ligand 4,2,,negative regulation of endothelial cell migration,,,ISO,Q9NR61 ,J:164563 
MGI:1354733,Dmrt1,doublesex and mab-3 related transcription factor 1,19,,germ cell migration,,,IMP,MGI:2385911 ,J:122954 
MGI:1354733,Dmrt1,doublesex and mab-3 related transcription factor 1,19,,germ cell migration,,,IMP,MGI:2385912 ,J:122954 
MGI:99670,Dmtn,dematin actin binding protein,14,,positive regulation of fibroblast migration,,,IDA,,J:137913 
MGI:1914935,Dnaaf4,dynein axonemal assembly factor 4,9,,neuron migration,,,ISO,RGD:1549760 ,J:155856 
MGI:3045269,Dnai3,dynein axonemal intermediate chain 3,3,,negative regulation of cell migration,,,ISO,Q8IWG1 ,J:164563 
MGI:1927638,Dnaja4,DnaJ heat shock protein family (Hsp40) member A4,9,,negative regulation of endothelial cell migration,,,ISO,Q8WW22 ,J:164563 
MGI:1921256,Dnm1l,dynamin 1-like,16,,positive regulation of neutrophil chemotaxis,,,ISO,O00429 ,J:164563 
MGI:2429765,Dock1,dedicator of cytokinesis 1,7,,cell migration,,,IBA,PTN000594048 ,J:265628 
MGI:2429765,Dock1,dedicator of cytokinesis 1,7,,cell migration,,,IDA,,J:98248 
MGI:2429765,Dock1,dedicator of cytokinesis 1,7,,positive regulation of epithelial cell migration,,,ISO,Q14185 ,J:164563 
MGI:2149010,Dock2,dedicator of cyto-kinesis 2,11,,cell migration,,,IBA,PTN000594048 ,J:265628 
MGI:1918006,Dock4,dedicator of cytokinesis 4,12,,cell chemotaxis,,,IBA,PTN002902099 ,J:265628 
MGI:1918006,Dock4,dedicator of cytokinesis 4,12,,cell chemotaxis,,,ISO,Q8N1I0 ,J:164563 
